"block";"ID";"deg";"correct";"zaehler_packetID";"durchgang";"MeanAmplitude";"MaxRangeX";"MaxRangeY";"SwayVelocity";"reactionTime";"outlier"
"visual";"id71";45;1;21;7;0.679958401747378;2.7466;2.4748;264.521207434736;1277;FALSE
"visualStop";"id48";45;1;21;7;0.316179500008185;1.0456;1.00874;377.024575995437;18;TRUE
"mental";"id64";180;1;9;1;5.0027055208548;14.1611;23.78199;486.08422056284;5576;FALSE
"visual";"id103";135;1;19;6;1.71257829142828;4.45478;6.057291;538.797808524793;1250;FALSE
"mental";"id115";135;1;15;4;4.9222183814631;10.0437;16.01272;888.075698698303;1829;FALSE
"mental";"id130";45;1;21;7;2.37014248380963;6.87909999999999;9.41242;699.568135769419;3556;FALSE
"visual";"id71";135;1;21;7;0.763105710814688;1.9783;3.0231;214.803231798219;1925;FALSE
"visualStop";"id49";45;1;9;1;1.39836385558633;5.20969;4.5255;592.72541118962;1381;FALSE
"visual";"id123";45;1;9;1;0.770846194239979;3.517;4.178258;651.663450709794;1858;FALSE
"mental";"id1";135;1;29;11;1.54092045379603;4.8663;4.873899;495.897187463265;1599;FALSE
"mental";"id80";90;1;17;5;1.21468581063981;5.0062;3.70116;195.29772118855;1374;FALSE
"visual";"id143";45;1;15;4;1.64801734970145;5.1095;5.08337;440.240701980835;1630;FALSE
"visual";"id67";45;1;29;11;1.66501326650129;4.7652;6.05879;428.575181805689;1411;FALSE
"visualStop";"id5";135;1;19;6;2.49735696897887;8.8614;8.9222894;894.305516939545;2458;FALSE
"visualStop";"id56";180;1;27;10;4.12336000339589;8.4383;13.053;509.174007148485;3495;FALSE
"mental";"id2";90;1;25;9;1.09470979709065;4.74169999999999;4.4732;610.691446534358;1557;FALSE
"visualStop";"id94";180;1;27;10;0.850188066066361;2.38999;2.566644;194.46751444614;997;FALSE
"visual";"id110";90;1;15;4;1.79247345028034;5.0459;6.46093;225.252634450439;2564;FALSE
"visual";"id135";90;1;31;12;3.14709793776138;7.23459;10.25964;626.291343913715;1714;FALSE
"mental";"id31";135;1;11;2;1.48957045491762;5.6402;7.75413;755.336147222529;1613;FALSE
"mental";"id72";180;1;23;8;1.71522039712747;6.02180000000001;7.36726;679.515690885764;1579;FALSE
"visualStop";"id36";45;1;19;6;4.30545490543193;12.14988;12.3114;202.83742875881;1521;FALSE
"visualStop";"id142";135;1;31;12;1.92044197772822;2.9909;6.24538;319.689438947479;1820;FALSE
"visual";"id44";135;1;11;2;3.53969457354312;12.3448;6.179243;529.882119754481;1937;FALSE
"mental";"id76";180;1;27;10;1.85727654019808;4.8683;7.05177;697.059001293199;1812;FALSE
"mental";"id118";135;1;15;4;3.78558586686603;8.6435;11.09169;229.961892738066;3049;FALSE
"visualStop";"id93";90;1;23;8;2.6943574472797;4.2482;9.45657;487.606995610146;2285;FALSE
"mental";"id147";180;1;27;10;1.32091064562678;2.1884;5.88369;287.072398428341;2264;FALSE
"visualStop";"id38";90;1;17;5;1.53288635768171;3.312;4.73312;250.150993926331;1492;FALSE
