"block";"ID";"value";"type"
"visualStop";"id103";"1";"RPE"
"visual";"id75";"2";"cRPE"
"visual";"id128";"3";"cRPE"
"mental";"id130";"1";"RPE"
"mental";"id107";"7";"cRPE"
"visualStop";"id141";"4";"cRPE"
"visual";"id60";"2";"cRPE"
"visualStop";"id133";"1";"RPE"
"visual";"id144";"1";"RPE"
"mental";"id40";"3";"RPE"
"visual";"id36";"4";"RPE"
"visual";"id85";"2";"RPE"
"visualStop";"id122";"6";"cRPE"
"visualStop";"id21";"1";"RPE"
"mental";"id92";"2";"cRPE"
"visualStop";"id34";"2";"cRPE"
"visual";"id60";"3";"cRPE"
"mental";"id120";"6";"cRPE"
"mental";"id118";"5";"cRPE"
"mental";"id42";"2";"RPE"
"mental";"id34";"2";"RPE"
"visual";"id5";"4";"cRPE"
"visualStop";"id92";"2";"cRPE"
"mental";"id80";"3";"RPE"
"visualStop";"id133";"3";"cRPE"
"visual";"id137";"4";"RPE"
"visualStop";"id11";"5";"cRPE"
"mental";"id91";"5";"cRPE"
"mental";"id128";"1";"RPE"
"visualStop";"id52";"2";"RPE"
"visual";"id137";"3";"RPE"
"visual";"id128";"1";"RPE"
"visual";"id122";"5";"cRPE"
"mental";"id142";"1";"RPE"
"visualStop";"id35";"3";"cRPE"
"visualStop";"id96";"5";"RPE"
"visual";"id23";"3";"cRPE"
"mental";"id140";"1";"cRPE"
"visual";"id99";"1";"RPE"
"visualStop";"id100";"3";"RPE"
"visual";"id146";"3";"cRPE"
"mental";"id125";"4";"RPE"
"visual";"id82";"3";"cRPE"
"visualStop";"id127";"4";"cRPE"
"visual";"id75";"2";"cRPE"
"mental";"id15";"6";"cRPE"
"visualStop";"id56";"7";"cRPE"
"visualStop";"id135";"4";"cRPE"
"visual";"id129";"4";"cRPE"
"mental";"id74";"1";"cRPE"
"mental";"id41";"6";"cRPE"
"visualStop";"id60";"2";"RPE"
"visual";"id103";"4";"cRPE"
"visual";"id42";"4";"cRPE"
"visualStop";"id150";"3";"cRPE"
"mental";"id81";"1";"RPE"
"mental";"id17";"5";"cRPE"
"mental";"id72";"6";"cRPE"
"visual";"id124";"1";"RPE"
"visualStop";"id105";"5";"cRPE"
"visual";"id40";"3";"cRPE"
"mental";"id150";"6";"RPE"
"visualStop";"id138";"5";"cRPE"
"visualStop";"id145";"1";"RPE"
"visual";"id30";"1";"RPE"
"visual";"id9";"1";"RPE"
"mental";"id53";"5";"RPE"
"mental";"id119";"6";"cRPE"
"mental";"id46";"1";"cRPE"
"visual";"id111";"1";"RPE"
"mental";"id60";"2";"RPE"
"visual";"id84";"2";"RPE"
"visualStop";"id54";"3";"cRPE"
"mental";"id71";"2";"RPE"
"mental";"id138";"4";"cRPE"
"visualStop";"id106";"3";"cRPE"
"mental";"id134";"8";"RPE"
"mental";"id60";"2";"RPE"
"visualStop";"id31";"2";"RPE"
"visualStop";"id36";"3";"cRPE"
"mental";"id90";"2";"RPE"
"visual";"id46";"1";"cRPE"
"mental";"id62";"3";"cRPE"
"visual";"id17";"4";"cRPE"
"visualStop";"id11";"3";"RPE"
"visual";"id37";"1";"cRPE"
"visual";"id132";"3";"cRPE"
"visualStop";"id13";"1";"RPE"
"visual";"id78";"1";"RPE"
"visualStop";"id65";"5";"cRPE"
"visual";"id12";"6";"cRPE"
"mental";"id107";"2";"RPE"
"mental";"id63";"1";"RPE"
"visualStop";"id91";"5";"cRPE"
"visualStop";"id43";"3";"RPE"
"visualStop";"id100";"5";"cRPE"
